center_lati,center_long,emd_cd,emd_nm,sgg_nm
37.551902938787826,126.9918052066339,11000000,,
37.59491731931452,126.97732129487213,11110000,,종로구
37.58920545163482,126.96932389009248,11110101,청운동,종로구
37.58450634891726,126.96794151918255,11110102,신교동,종로구
37.58469795480878,126.9727063196789,11110103,궁정동,종로구
37.58266755624465,126.97195272945544,11110104,효자동,종로구
37.58056045161147,126.97247438320997,11110105,창성동,종로구
37.57807740683369,126.97286981564723,11110106,통의동,종로구
37.575321285600985,126.9737908430541,11110107,적선동,종로구
37.580161372443214,126.97021938727214,11110108,통인동,종로구
37.58039872906021,126.96273702005307,11110109,누상동,종로구
37.57929005243838,126.96828404299777,11110110,누하동,종로구
37.58353853364109,126.96341008149724,11110111,옥인동,종로구
37.57759349965921,126.97087303204206,11110112,체부동,종로구
37.577299434811856,126.9681452560928,11110113,필운동,종로구
37.5753136695521,126.97174231153433,11110114,내자동,종로구
37.57541165584238,126.9659572423807,11110115,사직동,종로구
37.573123241366375,126.97475892611477,11110116,도렴동,종로구
37.571588285826834,126.97401354941897,11110117,당주동,종로구
37.57332521455621,126.97197171146105,11110118,내수동,종로구
37.58030400665684,126.97678924044386,11110119,세종로,종로구
37.570190180619534,126.97392196450545,11110120,신문로1가,종로구
37.57086963187709,126.96922532735066,11110121,신문로2가,종로구
37.571451088047304,126.98017892811113,11110122,청진동,종로구
37.569522044831395,126.98042066849104,11110123,서린동,종로구
37.573698243538665,126.9806452826977,11110124,수송동,종로구
37.5753129472215,126.97967773060424,11110125,중학동,종로구
37.57043337244349,126.97971510148156,11110126,종로1가,종로구
37.57130655139329,126.98317833735251,11110127,공평동,종로구
37.57415667865766,126.98468251937189,11110128,관훈동,종로구
37.57352260818102,126.98301275014333,11110129,견지동,종로구
37.58171456591497,126.99255009481925,11110130,와룡동,종로구
37.57650587444806,126.99167439086214,11110131,권농동,종로구
37.57638911544712,126.98823885910845,11110132,운니동,종로구
37.57434876787947,126.98970574024354,11110133,익선동,종로구
37.57520167914755,126.98642080590284,11110134,경운동,종로구
37.56912547510177,126.98600436891428,11110135,관철동,종로구
37.5717156729493,126.98607381515829,11110136,인사동,종로구
37.57257267644361,126.98862327282654,11110137,낙원동,종로구
37.57045829976956,126.98693467403646,11110138,종로2가,종로구
37.58279761049114,126.98072612075659,11110139,팔판동,종로구
37.59075470415767,126.98100988457196,11110140,삼청동,종로구
37.57740018729681,126.9836298511597,11110141,안국동,종로구
37.57962288348299,126.98093437556888,11110142,소격동,종로구
37.580691508495185,126.98273107120545,11110143,화동,종로구
37.577262226951376,126.980400324953,11110144,사간동,종로구
37.57677743589305,126.98187279530626,11110145,송현동,종로구
37.58268347207925,126.98484153469137,11110146,가회동,종로구
37.578328531163805,126.98528428964963,11110147,재동,종로구
37.582351846324634,126.98692980372641,11110148,계동,종로구
37.58392421013851,126.98826331318953,11110149,원서동,종로구
37.574384332564186,126.9941960278526,11110150,훈정동,종로구
37.57243596374251,126.99174265039893,11110151,묘동,종로구
37.57219469612485,126.99299803628332,11110152,봉익동,종로구
37.571981862919145,126.99074167977776,11110153,돈의동,종로구
37.56923760202097,126.99404398196442,11110154,장사동,종로구
37.569076539627034,126.99047530198673,11110155,관수동,종로구
37.5704084791026,126.99235338725019,11110156,종로3가,종로구
37.57234351946251,126.99769255741965,11110157,인의동,종로구
37.56963702719009,126.99830829527902,11110158,예지동,종로구
37.57556172876005,126.99753716498913,11110159,원남동,종로구
37.57375254490844,127.00016842135202,11110160,연지동,종로구
37.5706720170361,126.99795319615286,11110161,종로4가,종로구
37.573050002580544,127.00308823124071,11110162,효제동,종로구
37.570617414988476,127.0035339497852,11110163,종로5가,종로구
37.57194721575769,127.00768521364444,11110164,종로6가,종로구
37.5772404917289,127.00563300102678,11110165,이화동,종로구
37.57870344083053,126.99969439117477,11110166,연건동,종로구
37.57495880238612,127.00596199280645,11110167,충신동,종로구
37.581403921847574,127.00487909862032,11110168,동숭동,종로구
37.58781302311143,127.00175479474866,11110169,혜화동,종로구
37.58911429431966,126.99748755409695,11110170,명륜1가,종로구
37.58470007701993,126.99904129388828,11110171,명륜2가,종로구
37.58223245425522,126.9998816334622,11110172,명륜4가,종로구
37.58822121021423,126.99314729461652,11110173,명륜3가,종로구
37.57540762160564,127.01244857871161,11110174,창신동,종로구
37.575574096780194,127.01894561605954,11110175,숭인동,종로구
37.568547713531146,126.96446849867588,11110176,교남동,종로구
37.567916344217714,126.96686100341647,11110177,평동,종로구
37.5700804958256,126.96521818465654,11110178,송월동,종로구
37.57115083713443,126.9639856866014,11110179,홍파동,종로구
37.57153891930704,126.96145761746558,11110180,교북동,종로구
37.57368012492684,126.96262743980544,11110181,행촌동,종로구
37.619378239513765,126.95927536040698,11110182,구기동,종로구
37.61302930533325,126.9745007230845,11110183,평창동,종로구
37.59476324556175,126.96559042130346,11110184,부암동,종로구
37.600855955518924,126.9564818138634,11110185,홍지동,종로구
37.60252000546712,126.96183780823503,11110186,신영동,종로구
37.57710995668271,126.95858144626158,11110187,무악동,종로구
37.56014356455128,126.99596813970754,11140000,,중구
37.56815708117612,126.97900918698292,11140101,무교동,중구
37.56790939566287,126.98118625301409,11140102,다동,중구
37.56773133006931,126.97724653215379,11140103,태평로1가,중구
37.56599854357898,126.98054032657825,11140104,을지로1가,중구
37.565884296425935,126.98593010233735,11140105,을지로2가,중구
37.56757978088316,126.98286040049202,11140106,남대문로1가,중구
37.568097469121454,126.98424757931525,11140107,삼각동,중구
37.56728481952557,126.98464042485973,11140108,수하동,중구
37.56744983402337,126.98698484927395,11140109,장교동,중구
37.56746731905914,126.98951547600312,11140110,수표동,중구
37.56407543993922,126.98006471745654,11140111,소공동,중구
37.55807987885562,126.9776216378925,11140112,남창동,중구
37.56245260083161,126.97820456495741,11140113,북창동,중구
37.56298803447264,126.97636348715682,11140114,태평로2가,중구
37.56395496893697,126.98211804043018,11140115,남대문로2가,중구
37.56170045546516,126.97959161637786,11140116,남대문로3가,중구
37.56060500514221,126.97569996292505,11140117,남대문로4가,중구
37.55610012833445,126.97531145977177,11140118,남대문로5가,중구
37.55909998589426,126.97277252785354,11140119,봉래동1가,중구
37.55655630475127,126.97098712917497,11140120,봉래동2가,중구
37.556510312046015,126.98151449399457,11140121,회현동1가,중구
37.55876257669636,126.98293416442716,11140122,회현동2가,중구
37.56016837665135,126.98407707211707,11140123,회현동3가,중구
37.56117000203548,126.98251818079633,11140124,충무로1가,중구
37.561728562778875,126.9877968348956,11140125,충무로2가,중구
37.56430295918182,126.98466250889662,11140126,명동1가,중구
37.56290324543975,126.98525403339025,11140127,명동2가,중구
37.55934758943794,126.98459765504408,11140128,남산동1가,중구
37.558591578754445,126.98578758176899,11140129,남산동2가,중구
37.56015396874177,126.98741755092406,11140130,남산동3가,중구
37.56442966227839,126.98780508174228,11140131,저동1가,중구
37.56232924838506,126.99583929028643,11140132,충무로4가,중구
37.56284331633646,126.99964157485054,11140133,충무로5가,중구
37.564204227396466,126.99614638955858,11140134,인현동2가,중구
37.56425405455549,126.99820834602252,11140135,예관동,중구
37.5613464731871,127.00056275311573,11140136,묵정동,중구
37.56108823144696,126.99246659177751,11140137,필동1가,중구
37.55877226962126,126.9947217345554,11140138,필동2가,중구
37.55851623655044,126.99702176604552,11140139,필동3가,중구
37.560575183379164,126.99082904582552,11140140,남학동,중구
37.56065988575628,126.98940305088111,11140141,주자동,중구
37.555221644384424,126.9901170625273,11140142,예장동,중구
37.560980126965134,127.00758681225786,11140143,장충동1가,중구
37.554994794730405,127.00058989169148,11140144,장충동2가,중구
37.56502343499378,127.0053242703201,11140145,광희동1가,중구
37.56394529900414,127.00842825446492,11140146,광희동2가,중구
37.563529241584455,127.004242596513,11140147,쌍림동,중구
37.5677831215302,127.00688418736877,11140148,을지로6가,중구
37.566288252807226,127.00962405171285,11140149,을지로7가,중구
37.56644225770175,126.9977535581879,11140150,을지로4가,중구
37.5667253556209,127.00235464976784,11140151,을지로5가,중구
37.56826954658496,126.99937632376809,11140152,주교동,중구
37.568727035724464,127.00298025356025,11140153,방산동,중구
37.564735078292706,127.00088563755392,11140154,오장동,중구
37.566326242345276,126.99220819650199,11140155,을지로3가,중구
37.56781784022348,126.99292045425275,11140156,입정동,중구
37.56767655498032,126.99593899056656,11140157,산림동,중구
37.562386828967774,126.99174564221316,11140158,충무로3가,중구
37.56442600192637,126.99222437755952,11140159,초동,중구
37.56458804305928,126.9943101422223,11140160,인현동1가,중구
37.56423968651399,126.98979326804647,11140161,저동2가,중구
37.55791053163123,127.01366961097342,11140162,신당동,중구
37.567310991785895,127.01638059369752,11140163,흥인동,중구
37.56437424746378,127.01528728186902,11140164,무학동,중구
37.56854521188203,127.02083852573874,11140165,황학동,중구
37.563141897625194,126.97391935295235,11140166,서소문동,중구
37.56661111187396,126.97314612255421,11140167,정동,중구
37.56257323538433,126.9707134148953,11140168,순화동,중구
37.56411650642326,126.96847609718027,11140169,의주로1가,중구
37.56652616304109,126.96827865689522,11140170,충정로1가,중구
37.558836213000575,126.96633643082674,11140171,중림동,중구
37.56073659256792,126.96962160938261,11140172,의주로2가,중구
37.556165631539976,126.96731339486176,11140173,만리동1가,중구
37.55462681117043,126.96396396704506,11140174,만리동2가,중구
37.531384965881514,126.9799069882358,11170000,,용산구
37.54990199731986,126.980622771398,11170101,후암동,용산구
37.54288619825783,126.98501900875515,11170102,용산동2가,용산구
37.53053631751385,126.98518229587842,11170103,용산동4가,용산구
37.54540641157512,126.97236574614851,11170104,갈월동,용산구
37.54286180029602,126.97336209775145,11170105,남영동,용산구
37.54001204804139,126.97702744969693,11170106,용산동1가,용산구
37.552071769984664,126.97243131123344,11170107,동자동,용산구
37.55216608069694,126.9667991722266,11170108,서계동,용산구
37.548792041386974,126.96746849694229,11170109,청파동1가,용산구
37.54600826479549,126.96624260922519,11170110,청파동2가,용산구
37.543255901769236,126.96711162093075,11170111,청파동3가,용산구
37.53998055515266,126.96744687217809,11170112,원효로1가,용산구
37.53629745084032,126.96333967525436,11170113,원효로2가,용산구
37.53577367952522,126.95497810633758,11170114,신창동,용산구
37.5354857944641,126.95143524922042,11170115,산천동,용산구
37.53450124423858,126.94666807322498,11170116,청암동,용산구
37.534327056229394,126.95765932564396,11170117,원효로3가,용산구
37.53255077429333,126.95071627640822,11170118,원효로4가,용산구
37.542824394635765,126.96097111390651,11170119,효창동,용산구
37.53872763678531,126.9560421739536,11170120,도원동,용산구
37.53765917878438,126.95969085130466,11170121,용문동,용산구
37.53710868655467,126.96941983640879,11170122,문배동,용산구
37.535180512645795,126.9657739336505,11170123,신계동,용산구
37.536077500492596,126.97302173220743,11170124,한강로1가,용산구
37.531541330889866,126.96859828583578,11170125,한강로2가,용산구
37.531861501875866,126.97693901496265,11170126,용산동3가,용산구
37.52614745798717,126.97457512568054,11170127,용산동5가,용산구
37.52766829781342,126.96219181979667,11170128,한강로3가,용산구
37.51745298057991,126.96653207983837,11170129,이촌동,용산구
37.53851001601468,126.9925227651108,11170130,이태원동,용산구
37.537542548151926,127.00517887965911,11170131,한남동,용산구
37.524461611559005,126.99514525873006,11170132,동빙고동,용산구
